"App name","Usage time","Access count"
"Edge","3:00:33","27"
"Messenger","1:32:25","62"
"Facebook","1:31:44","40"
"WhatsApp","1:10:56","57"
"Instagram","0:33:19","20"
"Gallery","0:21:47","30"
"Telegram","0:20:10","11"
"Uber","0:20:00","24"
"Drive","0:07:52","13"
"Maps","0:07:29","9"
"Google","0:06:41","11"
"Discord","0:03:31","6"
"Spotify","0:02:38","10"
"Bitwarden","0:02:27","7"
"Photo Editor","0:02:14","4"
"Call","0:01:53","9"
"Clock","0:01:43","3"
"Bumble","0:01:37","3"
"Secure Folder","0:01:32","6"
"Samsung capture","0:01:24","9"
"Translate","0:01:12","5"
"Currency","0:01:09","3"
"Revolut","0:01:05","4"
"Phone","0:00:51","5"
"Waking Up","0:00:50","2"
"Diaro","0:00:42","2"
"Tandem","0:00:42","1"
"System UI","0:00:42","3"
"FitNotes","0:00:39","3"
"Google Play Store","0:00:32","1"
"Nordea Mobile","0:00:32","2"
"Samsung account","0:00:14","2"
"BankID","0:00:08","1"
"XRecorder","0:00:05","3"
"Permission controller","0:00:05","3"
"Calendar","0:00:03","1"
"Digital Wellbeing","0:00:02","1"
"Smart View","0:00:01","1"
"Camera","0:00:01","1"
"Calculator++","0:00:01","1"
""
"Date","Usage time"
"9/21/21","9:41:29"
""
"Usage history, September 21, 2021"
"Created by App Usage (PRO) on Wednesday, September 22, 2021, 2:00 AM"
