"App name","Usage time","Access count"
"Edge","6:41:17","55"
"Facebook","2:14:33","40"
"Instagram","1:05:14","19"
"WhatsApp","0:55:14","53"
"Uber","0:24:01","8"
"Tandem","0:17:28","6"
"Netflix","0:17:20","20"
"Bumble","0:05:14","6"
"Podcast Republic","0:05:14","8"
"Maps","0:04:55","10"
"Google","0:02:37","1"
"NordVPN","0:02:22","15"
"Google Play Store","0:02:21","9"
"Messenger","0:02:00","3"
"Bitwarden","0:02:00","9"
"Call","0:01:46","4"
"Telegram","0:00:58","1"
"Revolut","0:00:52","2"
"Clock","0:00:52","1"
"Phone","0:00:38","9"
"Digital Wellbeing","0:00:31","6"
"Contacts","0:00:29","1"
"Samsung capture","0:00:12","4"
"Package installer","0:00:11","1"
"Files","0:00:11","2"
"Gallery","0:00:09","1"
"VpnDialogs","0:00:02","1"
"Permission controller","0:00:01","1"
""
"Date","Usage time"
"9/16/21","12:28:43"
""
"Usage history, September 16, 2021"
"Created by App Usage (PRO) on Friday, September 17, 2021, 2:00 AM"
