"App name","Usage time","Access count"
"Clock","1:47:13","23"
"Bumble","1:36:13","35"
"Facebook","1:00:25","20"
"Instagram","0:43:04","21"
"Edge","0:42:18","8"
"Tandem","0:28:59","16"
"WhatsApp","0:23:33","28"
"Messenger","0:16:46","6"
"BankID","0:14:24","15"
"Uber","0:13:23","16"
"Digital Wellbeing","0:13:01","23"
"Skype","0:12:05","4"
"Gmail","0:11:29","8"
"Revolut","0:04:45","3"
"Maps","0:04:04","6"
"Nordea Mobile","0:03:00","6"
"Airbnb","0:02:44","3"
"Bitwarden","0:02:14","5"
"Currency","0:01:35","8"
"Tinder","0:01:31","2"
"Google Play Store","0:01:20","4"
"Notification Maker","0:01:18","4"
"Samsung Notes","0:00:34","1"
"Drive","0:00:30","1"
"Call","0:00:25","1"
"Camera","0:00:19","3"
"Translate","0:00:12","1"
"Files","0:00:11","1"
"Customization Service","0:00:08","1"
"Permission controller","0:00:06","4"
"Phone","0:00:01","1"
""
"Date","Usage time"
"9/9/21","8:27:48"
""
"Usage history, September 9, 2021"
"Created by App Usage (PRO) on Friday, September 10, 2021, 2:00 AM"
