"App name","Usage time","Access count"
"Bumble","1:23:10","29"
"Facebook","1:10:32","23"
"Edge","0:45:12","5"
"Instagram","0:38:53","12"
"Messenger","0:27:36","29"
"WhatsApp","0:21:07","31"
"Maps","0:17:16","13"
"Tinder","0:13:12","3"
"Tandem","0:09:51","8"
"MEGA","0:07:38","10"
"Telegram","0:07:34","7"
"Google","0:07:18","21"
"Gmail","0:06:28","3"
"Revolut","0:06:24","10"
"Google Play Store","0:05:10","11"
"Spotify","0:05:07","4"
"Gallery","0:04:58","19"
"Podcast Republic","0:04:23","7"
"Uber","0:04:06","6"
"Samsung Notes","0:03:59","10"
"Camera","0:03:28","8"
"Digital Wellbeing","0:03:18","8"
"Chrome","0:02:10","7"
"Airbnb","0:01:30","1"
"BankID","0:01:10","2"
"Clock","0:01:02","3"
"Translate","0:01:01","6"
"Bitwarden","0:00:59","3"
"Notification Maker","0:00:30","3"
"Currency","0:00:22","2"
"Messages","0:00:21","1"
"Permission controller","0:00:07","3"
"Prey","0:00:06","1"
"Discord","0:00:03","1"
""
"Date","Usage time"
"9/11/21","6:46:02"
""
"Usage history, September 11, 2021"
"Created by App Usage (PRO) on Sunday, September 12, 2021, 2:00 AM"
