"App name","Usage time","Access count"
"Instagram","2:46:40","34"
"Edge","1:43:05","19"
"Tandem","1:14:56","29"
"Bumble","1:08:43","42"
"Facebook","1:01:23","33"
"App Usage","0:22:59","19"
"Tinder","0:22:27","21"
"WhatsApp","0:13:37","7"
"Messenger","0:12:17","6"
"Gallery","0:12:10","11"
"Digital Wellbeing","0:08:52","10"
"Maps","0:08:39","17"
"Google Play Store","0:07:55","7"
"Revolut","0:06:14","5"
"Office","0:05:31","7"
"Google","0:05:25","4"
"My Files","0:02:30","9"
"Device care","0:01:54","1"
"SmartThings","0:01:31","2"
"Camera","0:01:22","2"
"Contacts","0:01:05","2"
"Files","0:00:42","5"
"Edge panels","0:00:41","5"
"Media and devices","0:00:36","3"
"Gmail","0:00:33","2"
"Clock","0:00:27","1"
"Swapps","0:00:25","4"
"Permission controller","0:00:11","4"
"Translate","0:00:10","1"
"Phone","0:00:10","2"
"System UI","0:00:05","2"
"Notification Maker","0:00:04","1"
"Package installer","0:00:03","1"
"Spotify","0:00:03","1"
"Samsung capture","0:00:03","2"
""
"Date","Usage time"
"9/5/21","10:13:26"
""
"Usage history, September 5, 2021"
"Created by App Usage (PRO) on Monday, September 6, 2021, 2:00 AM"
