"App name","Usage time","Access count"
"Edge","1:03:38","18"
"Facebook","1:02:51","13"
"WhatsApp","0:55:02","59"
"Telegram","0:52:26","11"
"Bumble","0:48:05","24"
"Messenger","0:28:04","12"
"Uber","0:18:23","25"
"Instagram","0:17:39","7"
"Tandem","0:14:51","9"
"Maps","0:10:54","14"
"Clock","0:08:05","15"
"Spotify","0:08:03","8"
"Digital Wellbeing","0:05:56","17"
"Google","0:04:41","4"
"Tinder","0:03:53","3"
"Camera","0:02:43","10"
"Notification Maker","0:02:40","4"
"Airbnb","0:02:16","3"
"Gallery","0:01:58","11"
"Chrome","0:01:44","1"
"Google Play Store","0:00:58","4"
"Contacts","0:00:36","2"
"QR Reader","0:00:32","6"
"Phone","0:00:20","4"
"Microsoft SwiftKey Keyboard","0:00:13","1"
"Files","0:00:12","2"
"Android Setup","0:00:11","2"
"Samsung capture","0:00:08","1"
"System UI","0:00:08","2"
"Permission controller","0:00:03","2"
""
"Date","Usage time"
"9/10/21","6:57:14"
""
"Usage history, September 10, 2021"
"Created by App Usage (PRO) on Saturday, September 11, 2021, 2:00 AM"
