"App name","Usage time","Access count"
"Facebook","1:36:21","36"
"Edge","1:30:48","20"
"WhatsApp","1:26:31","63"
"Call","0:52:49","4"
"Messenger","0:42:35","30"
"Instagram","0:29:33","11"
"Spotify","0:27:38","8"
"Clock","0:09:58","15"
"Bumble","0:08:01","5"
"Telegram","0:07:38","2"
"Tandem","0:06:24","6"
"Gallery","0:05:51","13"
"Waking Up","0:05:29","7"
"FolderSync","0:03:06","2"
"BankID","0:02:30","5"
"Chrome","0:02:08","1"
"Tinder","0:02:08","3"
"PayPal","0:01:53","2"
"MEGA","0:01:49","2"
"Digital Wellbeing","0:01:40","8"
"Markor","0:00:58","2"
"YouTube","0:00:53","1"
"Google","0:00:47","3"
"Phone","0:00:40","1"
"Nordea Mobile","0:00:38","3"
"Contacts","0:00:38","3"
"Messages","0:00:31","1"
"Maps","0:00:27","1"
"Skype","0:00:27","1"
"Notification Maker","0:00:26","3"
"Gmail","0:00:20","2"
"Google Play Store","0:00:17","2"
"Podcast Republic","0:00:15","2"
"Translate","0:00:15","1"
"Bitwarden","0:00:09","1"
"Calculator++","0:00:05","3"
"Samsung Cloud","0:00:04","1"
""
"Date","Usage time"
"9/19/21","8:12:40"
""
"Usage history, September 19, 2021"
"Created by App Usage (PRO) on Monday, September 20, 2021, 2:00 AM"
