"App name","Usage time","Access count"
"Facebook","1:47:03","74"
"Tandem","1:30:59","34"
"Airbnb","1:30:25","69"
"WhatsApp","1:09:25","76"
"Messenger","1:07:05","34"
"Instagram","0:51:08","22"
"Bumble","0:26:13","35"
"Edge","0:24:32","9"
"Chrome","0:12:31","10"
"Clock","0:07:41","7"
"Currency","0:04:40","11"
"Messages","0:04:07","5"
"Maps","0:03:42","8"
"Samsung Notes","0:03:34","1"
"Google","0:02:28","5"
"Google Play Store","0:02:18","2"
"Tinder","0:02:10","2"
"Contacts","0:01:23","3"
"Gmail","0:01:11","4"
"Notification Maker","0:01:06","3"
"Digital Wellbeing","0:01:03","3"
"Messages","0:01:01","3"
"Gallery","0:00:42","1"
"Revolut","0:00:25","1"
"Bitwarden","0:00:20","2"
"Phone","0:00:10","2"
"Camera","0:00:10","1"
"Calculator++","0:00:10","1"
"Permission controller","0:00:08","3"
"Swapps","0:00:07","2"
"App Usage","0:00:06","1"
"My Files","0:00:03","1"
"Samsung capture","0:00:02","1"
""
"Date","Usage time"
"9/7/21","9:38:08"
""
"Usage history, September 7, 2021"
"Created by App Usage (PRO) on Wednesday, September 8, 2021, 2:00 AM"
