"App name","Usage time","Access count"
"Edge","1:36:40","23"
"Facebook","1:26:38","39"
"Instagram","1:09:25","20"
"Messenger","1:00:56","43"
"Chrome","0:55:58","16"
"Tandem","0:47:40","15"
"Bumble","0:45:54","26"
"Tinder","0:39:09","23"
"Uber","0:39:08","45"
"Gmail","0:24:08","23"
"Maps","0:14:26","33"
"Gallery","0:11:10","10"
"Google Play Store","0:08:52","20"
"Call","0:06:11","4"
"Phone","0:03:58","7"
"Microsoft SwiftKey Keyboard","0:03:38","5"
"YouTube","0:03:16","2"
"Clock","0:02:49","8"
"Samsung Notes","0:02:45","5"
"Google","0:02:43","9"
"Prey","0:02:41","8"
"Bitwarden","0:02:01","8"
"Revolut","0:01:59","8"
"Swapps","0:01:49","7"
"Device care","0:01:28","3"
"Currency","0:01:21","1"
"Camera","0:01:13","5"
"System UI","0:01:05","21"
"App Delay","0:00:43","1"
"Your Phone Companion","0:00:28","2"
"Drive","0:00:27","1"
"Permission controller","0:00:25","9"
"Accessibility","0:00:23","3"
"Samsung capture","0:00:22","4"
"My Files","0:00:15","1"
"QR Reader","0:00:15","3"
"Software update","0:00:12","6"
"Wallpapers","0:00:10","1"
"Dual Messenger","0:00:08","1"
"Calendar","0:00:08","1"
"Quick Share","0:00:05","1"
"Package installer","0:00:02","1"
"Spotify","0:00:01","1"
"Link to Windows Service","0:00:00","1"
""
"Date","Usage time"
"9/1/21","10:43:05"
""
"Usage history, September 1, 2021"
"Created by App Usage (PRO) on Sunday, September 12, 2021, 11:47 PM"
