"App name","Usage time","Access count"
"Bumble","2:05:59","100"
"Tandem","1:45:05","45"
"WhatsApp","1:24:59","71"
"Facebook","1:14:09","46"
"Digital Wellbeing","0:39:18","35"
"Instagram","0:29:24","13"
"Tinder","0:18:36","10"
"Airbnb","0:17:49","9"
"Messenger","0:13:31","9"
"Telegram","0:13:04","18"
"Edge","0:12:30","3"
"Currency","0:06:05","8"
"Maps","0:05:59","16"
"Clock","0:04:49","9"
"Gallery","0:04:27","4"
"Gmail","0:03:10","5"
"Revolut","0:02:50","2"
"Google Play Store","0:02:16","2"
"Translate","0:01:25","5"
"Contacts","0:01:18","6"
"Messages","0:01:05","3"
"App Usage","0:00:52","3"
"Calendar","0:00:52","5"
"Call","0:00:49","2"
"Phone","0:00:38","6"
"Bitwarden","0:00:37","1"
"Calculator++","0:00:20","3"
"Permission controller","0:00:18","2"
"Google","0:00:16","2"
"Camera","0:00:11","1"
""
"Date","Usage time"
"9/6/21","9:32:40"
""
"Usage history, September 6, 2021"
"Created by App Usage (PRO) on Tuesday, September 7, 2021, 2:00 AM"
