"App name","Usage time","Access count"
"Edge","2:13:02","32"
"Bumble","2:02:20","58"
"WhatsApp","1:46:15","78"
"Tinder","1:28:40","47"
"Facebook","1:15:12","61"
"Tandem","0:34:09","10"
"Messenger","0:32:01","40"
"Airbnb","0:29:53","19"
"Instagram","0:29:30","19"
"Podcast Republic","0:09:30","10"
"Maps","0:08:44","15"
"Google Play Store","0:08:01","12"
"Telegram","0:04:23","7"
"Microsoft SwiftKey Keyboard","0:03:05","1"
"Revolut","0:02:52","4"
"Gallery","0:02:52","7"
"Clock","0:02:51","10"
"Gmail","0:02:03","6"
"Contacts","0:01:40","8"
"Phone","0:01:29","1"
"Bitwarden","0:01:25","5"
"Translate","0:01:16","4"
"Discord","0:01:01","2"
"Uber","0:00:58","2"
"Swapps","0:00:38","4"
"Drive","0:00:37","2"
"Call settings","0:00:34","6"
"Google","0:00:29","3"
"Wallpapers","0:00:28","1"
"Messages","0:00:26","2"
"Permission controller","0:00:25","11"
"System UI","0:00:24","9"
"Calculator++","0:00:21","5"
"QR Reader","0:00:17","2"
"Link Sharing","0:00:16","2"
"Samsung capture","0:00:12","5"
"Wi-Fi Tips","0:00:11","1"
"Camera","0:00:11","3"
"Digital Wellbeing","0:00:05","1"
"Files","0:00:04","1"
"Call & text on other devices","0:00:03","1"
"Dual Messenger","0:00:03","1"
"Android Setup","0:00:00","1"
""
"Date","Usage time"
"9/2/21","11:48:55"
""
"Usage history, September 2, 2021"
"Created by App Usage (PRO) on Sunday, September 12, 2021, 11:48 PM"
