"App name","Usage time","Access count"
"Bumble","1:39:28","50"
"Messenger","1:22:49","27"
"Edge","1:20:57","21"
"WhatsApp","1:14:47","73"
"Instagram","1:03:43","19"
"Facebook","0:59:04","29"
"Tandem","0:31:48","18"
"Airbnb","0:28:11","28"
"Digital Wellbeing","0:10:49","18"
"Tinder","0:07:46","3"
"Maps","0:07:03","20"
"Currency","0:04:28","8"
"Gmail","0:03:29","6"
"Revolut","0:03:09","9"
"Chrome","0:02:22","4"
"Contacts","0:02:22","7"
"Gallery","0:02:22","7"
"Movistar","0:02:11","2"
"Google","0:02:05","7"
"Clock","0:01:21","6"
"Samsung Notes","0:01:11","1"
"Bitwarden","0:00:42","3"
"Messages","0:00:40","2"
"Google Play Store","0:00:39","1"
"Drive","0:00:32","3"
"Translate","0:00:27","3"
"Samsung capture","0:00:24","6"
"Camera","0:00:04","1"
"Package installer","0:00:02","1"
"Android Setup","0:00:01","1"
""
"Date","Usage time"
"9/8/21","9:34:51"
""
"Usage history, September 8, 2021"
"Created by App Usage (PRO) on Thursday, September 9, 2021, 2:00 AM"
