"App name","Usage time","Access count"
"Instagram","2:18:20","62"
"Tandem","2:18:08","51"
"Bumble","1:14:00","68"
"Edge","1:07:50","14"
"WhatsApp","0:31:38","44"
"Uber","0:27:35","23"
"Messenger","0:26:26","14"
"Tinder","0:19:26","18"
"Facebook","0:18:28","11"
"Maps","0:17:53","31"
"Spotify","0:04:32","7"
"Google","0:04:08","13"
"Chrome","0:03:12","5"
"Gallery","0:02:55","13"
"Camera","0:02:49","8"
"Translate","0:02:45","8"
"Gmail","0:00:52","2"
"Google Play Store","0:00:51","3"
"Photo Editor","0:00:46","1"
"QR Reader","0:00:37","1"
"Contacts","0:00:29","1"
"Device care","0:00:15","1"
"Revolut","0:00:11","1"
"Samsung account","0:00:08","2"
"Phone","0:00:08","3"
"Permission controller","0:00:05","2"
"Swapps","0:00:02","2"
"Samsung capture","0:00:01","2"
""
"Date","Usage time"
"9/4/21","9:44:28"
""
"Usage history, September 4, 2021"
"Created by App Usage (PRO) on Sunday, September 12, 2021, 11:48 PM"
