"App name","Usage time","Access count"
"Meet","1:48:35","4"
"Facebook","1:08:18","18"
"Instagram","0:56:53","40"
"Edge","0:46:12","7"
"WhatsApp","0:41:57","23"
"Uber","0:27:51","22"
"Messenger","0:22:55","19"
"Bumble","0:13:40","13"
"BankID","0:08:36","5"
"Clock","0:08:36","10"
"Office","0:07:14","8"
"Bitwarden","0:05:31","4"
"Maps","0:04:43","6"
"Revolut","0:04:42","3"
"AnkiDroid","0:04:18","2"
"Nordea Mobile","0:04:17","4"
"System UI","0:03:03","3"
"Gmail","0:02:41","3"
"My Files","0:02:06","5"
"Digital Wellbeing","0:01:49","10"
"Spotify","0:01:01","2"
"Google Play Store","0:00:55","2"
"Airbnb","0:00:24","1"
"Camera","0:00:23","2"
"Galaxy Store","0:00:20","2"
"Tandem","0:00:19","2"
"Tinder","0:00:18","1"
"Discord","0:00:16","2"
"Finder","0:00:12","1"
"Microsoft SwiftKey Keyboard","0:00:06","1"
"Google","0:00:06","1"
"QR Reader","0:00:04","1"
"Samsung account","0:00:03","1"
"MTP application","0:00:02","1"
"Calculator++","0:00:01","1"
""
"Date","Usage time"
"9/14/21","7:28:26"
""
"Usage history, September 14, 2021"
"Created by App Usage (PRO) on Wednesday, September 15, 2021, 2:00 AM"
