"App name","Usage time","Access count"
"Bumble","2:27:23","79"
"Tandem","1:53:13","67"
"Edge","1:33:59","20"
"Instagram","0:51:18","41"
"Tinder","0:33:04","21"
"Facebook","0:27:33","15"
"Maps","0:25:19","31"
"WhatsApp","0:22:23","18"
"Clock","0:18:32","10"
"Office","0:07:09","8"
"Uber","0:06:21","11"
"AnkiDroid","0:05:42","2"
"Discord","0:05:16","4"
"Messenger","0:02:54","5"
"Mutual","0:02:25","11"
"Drive","0:02:05","3"
"Digital Wellbeing","0:01:44","13"
"Calendar","0:01:39","1"
"Google Play Store","0:01:25","5"
"Translate","0:01:23","7"
"Insta Saver","0:01:19","4"
"BankID","0:01:11","1"
"Gallery","0:01:09","5"
"Revolut","0:01:03","2"
"QR Reader","0:00:59","3"
"Google","0:00:49","3"
"Notification Maker","0:00:46","3"
"MEGA","0:00:44","1"
"Nordea Mobile","0:00:38","1"
"Bitwarden","0:00:30","4"
"Messages","0:00:25","2"
"Files","0:00:25","3"
"Phone","0:00:18","4"
"My Files","0:00:17","3"
"Call","0:00:11","2"
"System UI","0:00:10","2"
"Package installer","0:00:06","1"
"MTP application","0:00:02","1"
"Samsung capture","0:00:01","1"
""
"Date","Usage time"
"9/13/21","9:41:51"
""
"Usage history, September 13, 2021"
"Created by App Usage (PRO) on Tuesday, September 14, 2021, 2:00 AM"
