"App name","Usage time","Access count"
"Messenger","1:17:22","37"
"Edge","1:06:42","17"
"WhatsApp","1:01:20","78"
"Call","0:58:09","3"
"Uber","0:42:03","68"
"Instagram","0:34:59","28"
"Facebook","0:32:37","24"
"Spotify","0:27:21","13"
"Tandem","0:25:21","24"
"Clock","0:12:20","8"
"Gallery","0:05:32","8"
"Revolut","0:04:07","5"
"Bumble","0:03:24","4"
"Drive","0:03:09","8"
"Samsung Notes","0:02:58","2"
"Discord","0:01:43","2"
"Photo Editor","0:01:39","3"
"Swish","0:00:56","5"
"Google Play Store","0:00:52","4"
"Chrome","0:00:47","1"
"Messages","0:00:39","2"
"Maps","0:00:36","1"
"BankID","0:00:32","3"
"Bitwarden","0:00:30","1"
"Google","0:00:29","1"
"Samsung capture","0:00:25","5"
"Nordea Mobile","0:00:22","1"
"Camera","0:00:16","1"
"System UI","0:00:07","1"
"Files","0:00:06","1"
"Permission controller","0:00:04","3"
"Digital Wellbeing","0:00:02","1"
""
"Date","Usage time"
"9/15/21","7:47:29"
""
"Usage history, September 15, 2021"
"Created by App Usage (PRO) on Thursday, September 16, 2021, 2:00 AM"
