"App name","Usage time","Access count"
"Edge","2:52:48","24"
"Facebook","1:27:07","52"
"Instagram","1:11:50","12"
"Messenger","0:36:01","45"
"Clock","0:17:55","7"
"Discord","0:14:52","21"
"Bumble","0:13:45","12"
"Telegram","0:12:48","5"
"WhatsApp","0:11:45","27"
"Diaro","0:08:56","11"
"Spotify","0:07:55","7"
"PayPal","0:06:31","8"
"Call","0:04:41","4"
"Bitwarden","0:02:28","4"
"Drive","0:02:16","4"
"Tandem","0:01:31","1"
"Podcast Republic","0:01:30","7"
"Gallery","0:01:29","8"
"Camera","0:01:13","1"
"Phone","0:01:05","4"
"Google Play Store","0:00:40","2"
"Gmail","0:00:37","1"
"Digital Wellbeing","0:00:35","6"
"Calculator++","0:00:33","2"
"BankID","0:00:23","1"
"Samsung capture","0:00:22","3"
"Photo Editor","0:00:18","1"
"System UI","0:00:08","3"
"Files","0:00:04","1"
"Contacts","0:00:04","1"
"Notification Maker","0:00:03","1"
"Permission controller","0:00:01","1"
"Google","0:00:01","1"
""
"Date","Usage time"
"9/20/21","8:02:11"
""
"Usage history, September 20, 2021"
"Created by App Usage (PRO) on Tuesday, September 21, 2021, 2:00 AM"
